urban_area,County_name,Tract,Low_Response_Score,pct_Hispanic_ACS_10_14,pct_Hispanic_ACSMOE_10_14,pct_Prs_Blw_Pov_Lev_ACS_10_14,pct_Prs_Blw_Pov_Lev_ACSMOE_10_14
"Austin, TX",Travis County,1813,31,71.9,7.0,32.2,8.1
"Austin, TX",Travis County,1817,22.6,15.1,3.7,10.7,4.4
"Austin, TX",Travis County,1818,26.9,47.4,13.5,38.3,11.3
"Austin, TX",Travis County,1820,33.5,63.5,10.0,37.1,9.0
"Austin, TX",Travis County,1821,26.6,56.5,9.1,24.1,7.7
"Austin, TX",Travis County,1824,20.8,19.7,7.3,12.3,5.7
"Austin, TX",Travis County,1828,16.6,10.8,3.8,2.0,1.0
"Austin, TX",Travis County,1842,26.3,50.0,8.9,14.5,4.8
"Austin, TX",Travis County,1843,20,32.5,6.6,15.6,10.0
"Austin, TX",Travis County,1200,25.3,10.7,5.1,8.7,3.6
"Austin, TX",Travis County,1303,23,8.1,4.0,11.1,3.9
"Austin, TX",Travis County,1304,24,14.9,5.4,8.6,4.5
"Austin, TX",Travis County,1305,27.5,28.3,7.7,23.3,7.0
"Austin, TX",Travis County,1307,27.4,29.6,5.9,25.9,8.0
"Austin, TX",Travis County,1401,25.2,7.8,4.2,11.8,3.6
"Austin, TX",Travis County,1829,26.9,23.2,7.3,6.0,3.0
"Austin, TX",Travis County,1832,23.4,38.8,16.7,21.9,8.4
"Austin, TX",Travis County,1833,26.3,62.1,9.1,29.7,9.1
"Austin, TX",Travis County,1834,28,25.7,5.5,10.8,4.0
"Austin, TX",Travis County,1835,29,61.5,8.4,30.8,14.4
"Austin, TX",Travis County,1839,27.1,22.7,5.3,10.2,5.2
"Austin, TX",Travis County,1844,26.2,29.5,6.8,14.3,6.9
"Austin, TX",Travis County,1847,23.5,22.3,3.8,16.1,7.9
"Austin, TX",Travis County,1848,24.5,24.0,6.0,11.5,4.8
"Austin, TX",Travis County,1850,29.7,38.4,8.3,11.5,4.4
"Austin, TX",Travis County,1851,25.4,25.5,5.7,13.4,6.5
"Austin, TX",Travis County,102,12.7,4.6,3.8,3.6,3.2
"Austin, TX",Travis County,2005,30.2,45.7,13.5,32.7,13.2
"Austin, TX",Travis County,2104,24.1,34.5,11.9,29.7,15.4
"Austin, TX",Travis County,203,33.3,16.9,7.9,30.3,7.0
"Austin, TX",Travis County,302,27.4,21.6,8.3,26.0,7.8
"Austin, TX",Travis County,401,27.7,16.9,4.0,25.1,5.3
"Austin, TX",Travis County,1503,26.7,32.9,6.8,18.8,6.5
"Austin, TX",Travis County,1402,24.2,18.4,9.9,12.3,4.8
"Austin, TX",Travis County,1504,20.3,14.0,4.7,7.0,4.0
"Austin, TX",Travis County,1505,21.3,16.2,7.2,18.8,8.2
"Austin, TX",Travis County,1501,16.4,12.6,2.9,5.7,2.5
"Austin, TX",Travis County,1602,25.1,12.8,6.4,13.2,4.7
"Austin, TX",Travis County,1853,18,22.5,7.2,3.9,2.4
"Austin, TX",Travis County,2002,22.5,34.2,8.7,8.7,4.8
"Austin, TX",Travis County,2004,30.7,26.0,6.8,14.4,6.1
"Austin, TX",Williamson County,20804,18,9.8,3.9,2.2,1.3
"Austin, TX",Williamson County,21507,24.6,32.0,5.9,10.2,5.6
"Austin, TX",Williamson County,20603,12.5,11.3,3.9,3.4,2.5
"Austin, TX",Williamson County,21504,21.6,20.1,5.9,5.3,4.1
"Austin, TX",Williamson County,20806,21.9,38.6,7.0,10.2,10.6
"Austin, TX",Williamson County,21506,18.9,28.6,8.3,2.4,2.5
"Austin, TX",Williamson County,20111,13.1,10.9,8.1,6.1,3.6
"Austin, TX",Williamson County,20807,22.1,35.1,8.3,5.8,4.2
"Austin, TX",Williamson County,20315,21.8,10.9,3.8,3.6,2.7
"Austin, TX",Williamson County,20313,20.5,20.4,4.6,6.2,2.4
"Austin, TX",Williamson County,20322,20.4,15.2,4.9,5.5,2.8
"Austin, TX",Williamson County,20312,22.3,47.4,11.1,5.7,4.4
"Austin, TX",Williamson County,20327,19.7,17.0,8.6,15.4,11.6
"Austin, TX",Williamson County,20323,22.7,22.7,9.3,9.5,6.4
"Austin, TX",Williamson County,20316,23.4,11.9,5.5,8.0,4.2
"Austin, TX",Williamson County,20410,23.3,15.7,4.6,7.4,4.8
"Austin, TX",Williamson County,20403,20.5,14.8,8.7,14.1,7.7
"Austin, TX",Williamson County,20404,17.1,11.7,6.6,5.1,4.6
"Austin, TX",Caldwell County,960101,25.3,55.2,7.5,17.9,6.7
"Austin, TX",Williamson County,20405,24.8,27.5,5.8,8.7,4.5
"Austin, TX",Williamson County,20406,29.3,26.4,6.5,8.1,3.6
"Austin, TX",Williamson County,20503,16.2,11.9,3.1,6.5,3.2
"Austin, TX",Williamson County,20504,29.2,42.3,8.6,27.9,9.7
"Austin, TX",Williamson County,20602,20.8,36.8,7.6,10.6,4.7
"Austin, TX",Hays County,10901,13.7,18.7,3.2,3.7,4.0
"Austin, TX",Hays County,10902,20,28.7,4.9,8.4,4.4
"Austin, TX",Travis County,1856,20.5,31.3,5.3,7.8,4.4
"Austin, TX",Williamson County,20703,24.9,35.4,4.0,9.9,5.1
"Austin, TX",Williamson County,20704,25.7,52.1,11.2,14.4,10.6
"Austin, TX",Williamson County,20701,26.8,54.6,10.1,18.6,8.3
"Austin, TX",Williamson County,21402,26.3,47.1,14.6,30.7,12.8
"Austin, TX",Williamson County,21403,23.5,45.3,10.8,20.5,11.4
"Austin, TX",Williamson County,21503,26.9,39.8,11.2,17.7,8.4
"Austin, TX",Travis County,2112,30.4,50.1,7.2,35.4,9.1
"Austin, TX",Travis County,2113,23.8,35.8,9.5,23.8,9.6
"Austin, TX",Travis County,2201,28.7,56.8,10.0,23.5,10.2
"Austin, TX",Travis County,2202,33.8,64.5,9.7,36.1,11.4
"Austin, TX",Travis County,2304,37.6,66.0,13.2,38.5,11.3
"Austin, TX",Travis County,2308,31.5,40.7,8.1,30.5,7.9
"Austin, TX",Travis County,2312,31.5,83.3,4.7,40.0,9.6
"Austin, TX",Travis County,2314,36.8,55.5,13.1,40.8,11.4
"Austin, TX",Travis County,2316,40,76.0,7.9,41.1,9.1
"Austin, TX",Travis County,2403,24.3,42.7,12.5,17.0,9.1
"Austin, TX",Travis County,2409,24.4,56.6,6.5,17.0,7.4
"Austin, TX",Travis County,2410,29.1,48.4,5.6,25.4,8.1
"Austin, TX",Travis County,2411,30.5,82.6,6.7,41.5,8.6
"Austin, TX",Travis County,2412,27.3,85.0,4.9,25.5,8.9
"Austin, TX",Travis County,2413,33.6,78.3,5.9,43.5,11.5
"Austin, TX",Travis County,2419,37.6,63.1,7.7,32.4,7.9
"Austin, TX",Travis County,2422,26.5,54.0,10.0,20.9,6.7
"Austin, TX",Travis County,2423,22.6,49.1,14.0,10.2,5.1
"Austin, TX",Travis County,2424,26,47.6,7.8,19.9,7.9
"Austin, TX",Travis County,1742,22.9,34.4,9.4,18.4,9.6
"Austin, TX",Travis County,1760,17.9,6.3,2.5,2.3,1.6
"Austin, TX",Travis County,1826,25.5,25.4,10.0,8.3,3.1
"Austin, TX",Travis County,2310,31.8,79.9,7.2,43.1,10.7
"Austin, TX",Williamson County,20302,18,21.9,15.2,3.0,2.6
"Austin, TX",Williamson County,20301,18.3,14.8,2.8,6.8,3.3
"Austin, TX",Williamson County,20310,14.4,10.6,6.0,3.4,1.9
"Austin, TX",Williamson County,21502,27.3,55.2,6.5,18.8,8.5
"Austin, TX",Williamson County,21401,21.7,41.3,6.2,7.1,4.0
"Austin, TX",Travis County,1746,22.9,27.5,5.4,7.4,2.9
"Austin, TX",Travis County,1765,19,11.9,3.8,4.5,2.6
"Austin, TX",Travis County,1737,17.9,18.3,3.7,2.4,1.4
"Austin, TX",Travis County,1766,20.4,16.1,5.6,11.4,5.2
"Austin, TX",Travis County,2003,27.6,47.6,10.1,30.8,10.4
"Austin, TX",Travis County,1819,31.6,75.8,8.8,43.9,6.6
"Austin, TX",Travis County,1714,22.4,11.0,4.0,7.5,3.7
"Austin, TX",Travis County,1748,22.4,31.3,6.5,9.7,6.6
"Austin, TX",Travis County,1901,22.1,10.7,4.0,8.2,3.7
"Austin, TX",Travis County,2402,28.5,51.6,9.4,20.7,8.6
"Austin, TX",Travis County,101,18.7,10.7,4.8,8.0,3.6
"Austin, TX",Travis County,2313,33.5,45.1,8.5,23.0,6.6
"Austin, TX",Travis County,700,27.3,20.2,7.2,17.9,6.3
"Austin, TX",Travis County,1849,34.2,19.0,6.3,8.3,3.7
"Austin, TX",Travis County,2421,28.7,36.5,5.0,12.0,4.1
"Austin, TX",Travis County,1604,14.1,6.5,3.4,3.6,2.0
"Austin, TX",Travis County,1910,18.7,9.1,3.1,5.9,4.2
"Austin, TX",Travis County,2407,19.7,38.8,6.9,4.9,3.0
"Austin, TX",Travis County,2315,35.6,63.9,10.6,42.5,11.2
"Austin, TX",Travis County,1308,26.9,51.6,11.3,18.2,8.1
"Austin, TX",Travis County,1911,29.4,23.9,8.2,5.6,2.7
"Austin, TX",Travis County,1761,20.3,9.9,4.2,6.2,3.1
"Austin, TX",Travis County,1755,11.8,6.4,3.2,1.9,1.2
"Austin, TX",Travis County,1733,15,17.9,9.6,5.2,2.9
"Austin, TX",Travis County,1738,15.6,19.5,4.3,4.8,3.4
"Austin, TX",Travis County,1741,18.7,17.9,7.4,6.4,4.6
"Austin, TX",Travis County,2110,30.9,58.7,8.9,37.4,10.4
"Austin, TX",Travis County,2111,31.3,67.7,5.6,36.1,9.1
"Austin, TX",Travis County,1912,18.4,7.0,3.1,8.2,3.7
"Austin, TX",Williamson County,20113,23.4,30.8,5.7,11.0,8.2
"Austin, TX",Hays County,10908,25.9,64.2,5.3,20.4,7.3
"Austin, TX",Hays County,10905,21.3,39.2,7.3,8.0,3.5
"Austin, TX",Hays County,10907,26.2,67.3,4.8,16.7,6.0
"Austin, TX",Hays County,10805,14.6,8.2,3.6,2.9,2.3
"Austin, TX",Hays County,10906,24.7,55.8,3.5,13.7,5.8
"Austin, TX",Hays County,10909,21.1,26.8,5.3,1.6,1.3
"Austin, TX",Travis County,402,25.5,17.5,5.3,19.4,7.5
"Austin, TX",Hays County,10304,33,51.4,6.1,48.8,8.9
"Austin, TX",Hays County,10910,22.4,53.1,5.3,4.6,3.2
"Austin, TX",Hays County,10303,33.1,35.7,6.7,41.5,8.0
"Austin, TX",Travis County,500,29.3,15.8,4.6,38.8,7.6
"Austin, TX",Travis County,601,36.8,21.6,4.2,74.1,12.9
"Austin, TX",Travis County,603,35,21.2,3.7,84.5,5.1
"Austin, TX",Travis County,604,35,11.4,3.4,81.5,9.5
"Austin, TX",Travis County,801,25.4,66.5,6.9,19.3,8.2
"Austin, TX",Travis County,802,31.4,42.9,8.3,48.5,11.1
"Austin, TX",Travis County,803,27.1,30.8,9.1,16.0,7.0
"Austin, TX",Travis County,804,29.8,44.6,8.1,43.2,9.6
"Austin, TX",Travis County,901,29.7,40.0,4.6,20.1,8.2
"Austin, TX",Williamson County,20108,12.2,3.7,3.1,2.1,2.0
"Austin, TX",Williamson County,20106,11.6,9.9,4.6,5.0,5.0
"Austin, TX",Williamson County,20112,12.2,11.1,8.0,1.6,2.1
"Austin, TX",Williamson County,20204,19.2,15.6,6.2,4.8,2.7
"Austin, TX",Williamson County,20805,22,35.2,7.8,4.2,4.3
"Austin, TX",Williamson County,20803,21.8,31.8,7.3,8.7,6.0
"Austin, TX",Williamson County,20604,21.7,14.5,5.8,6.4,4.3
"Austin, TX",Williamson County,20508,25.8,18.3,8.1,5.0,3.4
"Austin, TX",Williamson County,20409,23.9,28.2,5.7,4.8,2.9
"Austin, TX",Williamson County,20411,19.6,14.9,5.4,6.1,5.2
"Austin, TX",Williamson County,20107,0.9,2.3,1.8,5.5,3.8
"Austin, TX",Williamson County,20105,2.8,6.8,8.1,2.0,1.2
"Austin, TX",Williamson County,20809,20.9,25.3,5.7,4.7,2.4
"Austin, TX",Williamson County,21505,24.7,48.2,8.0,5.9,4.2
"Austin, TX",Williamson County,20706,14.5,20.6,4.1,5.8,4.5
"Austin, TX",Williamson County,20605,15.8,18.9,4.5,3.8,2.9
"Austin, TX",Williamson County,20509,14.1,8.5,3.3,1.2,0.9
"Austin, TX",Travis County,1916,13.1,7.7,3.9,2.3,2.5
"Austin, TX",Travis County,1783,18.5,10.3,3.3,4.0,2.1
"Austin, TX",Travis County,1918,13.3,17.1,11.1,7.6,5.3
"Austin, TX",Travis County,1784,18.6,10.9,4.2,3.0,2.7
"Austin, TX",Travis County,2428,22.2,37.2,10.9,6.8,5.2
"Austin, TX",Travis County,1775,14.3,14.1,4.0,1.1,1.1
"Austin, TX",Travis County,1770,12.9,13.8,4.3,1.5,0.9
"Austin, TX",Travis County,2210,25.1,47.6,11.0,19.9,11.3
"Austin, TX",Travis County,2207,27.2,51.3,11.5,18.8,9.9
"Austin, TX",Travis County,2209,24.9,49.1,9.0,17.9,6.7
"Austin, TX",Travis County,1914,19.2,12.7,2.5,3.0,1.9
"Austin, TX",Travis County,2433,26.8,54.1,4.0,18.2,9.0
"Austin, TX",Travis County,2429,29.5,31.0,11.1,13.1,10.2
"Austin, TX",Travis County,2430,27,75.3,8.0,18.1,9.1
"Austin, TX",Travis County,304,28.5,18.5,5.5,28.3,9.1
"Austin, TX",Travis County,1773,15.2,7.8,1.9,4.7,4.4
"Austin, TX",Travis County,2426,26.3,66.0,6.6,9.7,4.6
"Austin, TX",Travis County,1774,17.2,27.6,5.3,3.1,2.0
"Austin, TX",Travis County,1846,14.6,11.5,5.0,12.2,10.0
"Austin, TX",Travis County,1756,17.4,8.7,4.0,3.1,2.2
"Austin, TX",Travis County,1917,13,7.9,2.7,6.9,4.3
"Austin, TX",Travis County,206,21.1,11.9,5.0,11.1,4.1
"Austin, TX",Travis County,305,26.5,14.3,6.7,23.2,8.3
"Austin, TX",Travis County,205,26.1,12.3,6.1,15.1,10.6
"Austin, TX",Travis County,307,24.5,30.2,14.7,25.5,15.2
"Austin, TX",Travis County,2318,33.7,57.6,8.3,60.4,8.6
"Austin, TX",Travis County,1919,14.1,6.5,3.5,2.3,1.4
"Austin, TX",Travis County,1757,16.3,13.7,6.3,4.9,3.1
"Austin, TX",Travis County,1781,13.2,8.0,3.5,5.4,5.0
"Austin, TX",Travis County,1864,28.9,25.5,6.6,12.5,5.9
"Austin, TX",Travis County,1772,22.5,38.3,8.8,7.3,4.2
"Austin, TX",Travis County,1777,21.8,28.3,5.9,6.9,4.0
"Austin, TX",Travis County,1778,15.6,6.1,3.5,9.1,4.3
"Austin, TX",Williamson County,20314,18.7,34.0,7.4,4.8,4.9
"Austin, TX",Williamson County,21508,23.3,15.6,3.8,3.1,1.2
"Austin, TX",Williamson County,20114,23.3,31.2,14.4,15.4,4.9
"Austin, TX",Williamson County,20110,14.4,6.7,3.4,3.6,2.0
"Austin, TX",Williamson County,20319,18.2,17.3,4.1,3.8,3.2
"Austin, TX",Williamson County,20318,19.4,13.3,3.7,3.6,2.5
"Austin, TX",Williamson County,20317,25.6,13.9,6.4,7.5,4.5
"Austin, TX",Williamson County,20115,12,7.6,4.9,9.3,5.3
"Austin, TX",Williamson County,20510,17.8,9.9,5.2,2.5,1.7
"Austin, TX",Williamson County,21603,22.6,25.1,8.7,7.5,4.3
"Austin, TX",Williamson County,20109,11.7,7.3,4.3,2.8,2.3
"Austin, TX",Williamson County,20320,17.7,18.4,2.8,5.0,3.7
"Austin, TX",Williamson County,20325,23.4,34.5,15.0,8.6,5.7
"Austin, TX",Williamson County,20321,18.5,32.4,9.7,7.1,6.6
"Austin, TX",Williamson County,20328,18.2,17.5,5.9,5.2,3.6
"Austin, TX",Williamson County,20324,16.2,18.3,4.4,4.5,3.3
"Austin, TX",Williamson County,20326,13.5,10.8,4.1,4.4,2.7
"Austin, TX",Williamson County,20311,24.5,20.5,5.7,3.5,2.5
"Austin, TX",Williamson County,20507,20,13.3,6.7,0.8,1.3
"Austin, TX",Williamson County,20506,17.7,14.2,3.7,3.3,2.0
"Austin, TX",Williamson County,20408,24.7,16.7,4.9,12.3,5.8
"Austin, TX",Williamson County,20505,11.7,16.3,7.9,1.6,1.5
"Austin, TX",Williamson County,20707,23.4,37.4,8.2,8.1,5.9
"Austin, TX",Travis County,1915,21.9,19.0,9.0,5.7,5.1
"Austin, TX",Travis County,2425,23.5,54.7,8.6,2.0,1.9
"Austin, TX",Travis County,1776,19.5,24.1,6.3,8.0,5.2
"Austin, TX",Travis County,1859,20.1,37.4,17.8,8.7,6.6
"Austin, TX",Williamson County,20203,0.5,2.7,1.5,1.3,1.2
"Austin, TX",Williamson County,20708,16.8,17.2,5.2,4.6,2.9
"Austin, TX",Travis County,1857,23.8,30.3,7.6,10.8,6.7
"Austin, TX",Travis County,2434,25.9,60.7,10.4,26.2,11.3
"Austin, TX",Travis County,2208,28.6,63.3,6.0,35.9,9.1
"Austin, TX",Travis County,2431,28.5,71.8,7.0,22.1,7.5
"Austin, TX",Travis County,2427,29.2,84.7,7.5,29.0,9.7
"Austin, TX",Travis County,2317,38.8,44.1,8.1,66.6,10.4
"Austin, TX",Travis County,1860,26.3,39.5,10.5,15.5,13.1
"Austin, TX",Travis County,1863,34.8,39.2,8.2,27.6,8.0
"Austin, TX",Travis County,1785,26.9,19.5,5.2,6.5,4.0
"Austin, TX",Travis County,1771,12.7,13.3,6.2,3.9,2.4
"Austin, TX",Travis County,306,27.6,29.5,9.2,17.1,7.3
"Austin, TX",Travis County,2211,28.4,57.9,8.2,17.4,8.8
"Austin, TX",Travis County,1782,15.5,12.4,6.0,12.3,7.3
"Austin, TX",Travis County,2500,21.6,15.8,5.8,7.7,3.9
"Austin, TX",Travis County,1786,26.4,10.3,3.5,7.5,4.9
"Austin, TX",Travis County,1858,17.7,21.6,2.5,1.9,1.2
"Austin, TX",Travis County,1855,21.7,24.5,4.1,13.3,5.4
"Austin, TX",Travis County,1862,23.7,23.5,7.9,11.1,4.7
"Austin, TX",Travis County,2212,26.5,53.1,40.0,0.0,1.9
"Austin, TX",Travis County,2436,27.4,78.1,9.5,24.7,13.3
"Austin, TX",Travis County,2432,28.1,72.7,13.8,30.8,12.6
"Austin, TX",Travis County,2435,28.1,63.1,9.9,25.0,10.6
"Austin, TX",Travis County,1861,20.2,30.4,1.9,7.6,6.4
"Beaumont, TX",Jefferson County,308,23.3,5.8,3.9,20.0,6.0
"Beaumont, TX",Jefferson County,307,25.9,6.3,4.4,11.0,5.3
"Beaumont, TX",Jefferson County,310,18.2,9.6,5.7,3.0,1.9
"Beaumont, TX",Jefferson County,900,31.5,16.0,11.3,60.8,12.6
"Beaumont, TX",Jefferson County,2000,27.3,31.3,7.0,26.8,9.3
"Beaumont, TX",Jefferson County,1303,18.3,12.3,8.1,13.9,9.0
"Beaumont, TX",Jefferson County,103,32.4,4.2,4.7,45.8,9.6
"Beaumont, TX",Jefferson County,11400,19.3,14.4,4.8,13.3,5.1
"Beaumont, TX",Jefferson County,1302,22.3,14.1,4.3,18.9,7.8
"Beaumont, TX",Jefferson County,2400,27.1,22.4,10.5,31.3,10.7
"Beaumont, TX",Jefferson County,304,21.4,17.1,6.1,20.0,9.0
"Beaumont, TX",Jefferson County,306,18.3,12.1,6.5,21.3,8.0
"Beaumont, TX",Jefferson County,1700,26.3,2.6,2.2,32.5,10.8
"Beaumont, TX",Jefferson County,1900,28.9,38.7,5.8,31.8,9.8
"Beaumont, TX",Jefferson County,2100,27.4,10.5,6.5,36.8,9.2
"Beaumont, TX",Jefferson County,2200,27.8,2.9,3.0,39.6,11.5
"Beaumont, TX",Jefferson County,2300,25.8,7.8,5.0,28.5,7.7
"Beaumont, TX",Jefferson County,2500,29.1,21.5,8.8,30.9,10.3
"Beaumont, TX",Jefferson County,2600,31.5,7.4,2.8,52.9,9.0
"Beaumont, TX",Jefferson County,309,18.8,6.0,5.6,8.4,5.9
"Beaumont, TX",Jefferson County,11700,27.1,38.1,8.4,32.2,15.7
"Beaumont, TX",Orange County,21502,18.2,4.2,2.4,9.8,5.4
"Beaumont, TX",Orange County,21600,19.1,11.3,7.6,13.1,6.1
"Beaumont, TX",Orange County,21700,20.1,13.2,6.7,22.3,9.7
"Beaumont, TX",Orange County,22000,20.7,4.2,2.9,14.3,7.7
"Beaumont, TX",Orange County,21800,15.5,7.3,5.5,11.9,7.6
"Beaumont, TX",Orange County,21900,19.6,3.6,2.5,11.7,5.1
"Beaumont, TX",Jefferson County,11304,21.8,6.2,2.3,7.1,4.0
"Beaumont, TX",Hardin County,30502,18.3,4.7,2.3,7.6,4.4
"Beaumont, TX",Hardin County,30600,18,5.4,3.6,6.3,3.2
"Beaumont, TX",Hardin County,30300,19.1,3.5,2.2,12.6,5.5
"Beaumont, TX",Hardin County,30501,15.5,1.9,1.8,11.0,5.8
"Beaumont, TX",Jefferson County,101,24.1,12.1,6.8,19.1,9.5
"Beaumont, TX",Jefferson County,102,25,9.2,8.0,17.2,9.3
"Beaumont, TX",Jefferson County,302,14.9,7.9,4.9,2.0,1.8
"Beaumont, TX",Jefferson County,400,21.4,4.4,2.7,17.3,7.5
"Beaumont, TX",Jefferson County,500,24.5,27.5,11.0,12.6,5.2
"Beaumont, TX",Jefferson County,200,23.9,11.5,2.6,14.1,7.0
"Beaumont, TX",Jefferson County,11201,19.6,10.5,3.3,5.2,2.9
"Beaumont, TX",Jefferson County,700,28.7,8.3,8.0,31.6,11.2
"Beaumont, TX",Jefferson County,1100,26.4,12.7,7.7,33.0,19.2
"Beaumont, TX",Jefferson County,1200,27.7,31.5,11.3,21.9,9.7
"Beaumont, TX",Jefferson County,600,27.7,25.8,8.4,33.7,11.7
"Beaumont, TX",Jefferson County,1301,22.1,14.1,6.4,10.6,4.3
"Brownsville, TX",Cameron County,12402,25.8,89.2,7.4,29.8,11.8
"Brownsville, TX",Cameron County,12504,26.9,95.4,3.1,27.1,7.0
"Brownsville, TX",Cameron County,12506,23.4,73.8,6.6,18.5,7.2
"Brownsville, TX",Cameron County,12609,30.5,97.4,3.0,51.5,9.4
"Brownsville, TX",Cameron County,12612,23,90.1,1.8,7.7,3.4
"Brownsville, TX",Cameron County,12607,28.8,99.5,1.5,41.2,15.4
"Brownsville, TX",Cameron County,12613,23.9,86.1,4.6,18.0,6.5
"Brownsville, TX",Cameron County,12900,24.2,86.0,3.6,23.1,8.0
"Brownsville, TX",Cameron County,13002,27.8,89.2,3.6,25.0,10.3
"Brownsville, TX",Cameron County,13003,32,96.5,3.2,38.9,8.7
"Brownsville, TX",Cameron County,13004,24.2,88.5,6.2,27.6,9.0
"Brownsville, TX",Cameron County,13102,25.2,91.6,2.7,43.5,10.8
"Brownsville, TX",Cameron County,13104,27.1,90.4,4.4,23.6,8.9
"Brownsville, TX",Cameron County,13106,30.2,98.3,2.4,53.4,9.3
"Brownsville, TX",Cameron County,13204,28,96.0,4.0,35.4,13.0
"Brownsville, TX",Cameron County,13205,29.4,98.5,2.1,37.0,11.1
"Brownsville, TX",Cameron County,13207,29.5,94.2,4.8,44.6,13.4
"Brownsville, TX",Cameron County,13303,28.6,92.9,5.4,37.7,10.9
"Brownsville, TX",Cameron County,13305,28.6,97.6,1.7,40.1,10.0
"Brownsville, TX",Cameron County,13307,31.6,98.3,3.6,57.1,16.8
"Brownsville, TX",Cameron County,13206,32.4,97.1,2.4,62.6,13.7
"Brownsville, TX",Cameron County,13308,27.5,98.0,1.7,37.6,10.2
"Brownsville, TX",Cameron County,13401,31.2,93.4,7.3,56.8,14.4
"Brownsville, TX",Cameron County,13306,30.1,100.0,11.5,53.6,12.1
"Brownsville, TX",Cameron County,12505,29.6,96.4,1.4,43.2,10.3
"Brownsville, TX",Cameron County,12608,24.6,85.8,5.1,25.1,8.9
"Brownsville, TX",Cameron County,12800,27.7,97.1,4.4,40.2,11.3
"Brownsville, TX",Cameron County,12700,29.8,92.8,3.8,41.0,10.8
"Brownsville, TX",Cameron County,13203,27.5,95.3,7.5,58.7,21.7
"Brownsville, TX",Cameron County,12508,24.7,86.6,6.8,33.7,13.3
"Brownsville, TX",Cameron County,14002,31.5,96.9,3.1,64.3,11.5
"Brownsville, TX",Cameron County,12401,28.4,93.7,3.4,34.7,7.5
"Brownsville, TX",Cameron County,13402,28.6,99.7,22.4,45.6,12.8
"Brownsville, TX",Cameron County,13500,22.6,88.5,4.7,22.3,9.9
"Brownsville, TX",Cameron County,13600,28.8,93.2,17.1,46.2,11.9
"Brownsville, TX",Cameron County,13700,30,98.6,3.5,62.8,10.3
"Brownsville, TX",Cameron County,13801,31,96.2,2.6,57.8,13.6
"Brownsville, TX",Cameron County,13802,30.1,96.5,17.5,59.8,11.7
"Brownsville, TX",Cameron County,13901,28.7,99.4,1.1,43.7,8.9
"Brownsville, TX",Cameron County,13903,27.4,99.0,2.7,35.8,9.1
"Brownsville, TX",Cameron County,14001,29.8,87.4,8.0,53.5,13.3
"Brownsville, TX",Cameron County,12200,27.9,87.6,4.5,35.1,9.1
"Brownsville, TX",Cameron County,12507,27.7,97.1,2.5,41.1,8.7
"Brownsville, TX",Cameron County,13309,29.1,98.9,2.6,47.1,11.2
"Brownsville, TX",Cameron County,13902,28.5,99.5,0.8,51.4,12.5
"Brownsville, TX",Cameron County,14100,30.1,97.1,2.1,35.9,8.4
"Brownsville, TX",Cameron County,14200,30.8,90.8,5.2,40.0,9.8
"Brownsville, TX",Cameron County,14400,24.4,89.6,4.1,18.4,5.7
"Brownsville, TX",Cameron County,14500,26.9,87.4,4.0,23.2,6.8
"Brownsville, TX",Cameron County,14300,30,94.2,1.8,42.0,8.0
"College Station--Bryan, TX",Brazos County,2010,17.4,16.8,10.2,3.3,2.4
"College Station--Bryan, TX",Brazos County,300,25.1,59.8,9.2,13.7,5.8
"College Station--Bryan, TX",Brazos County,1302,26.9,15.9,5.0,39.0,8.1
"College Station--Bryan, TX",Brazos County,2002,21.9,8.2,3.6,9.2,3.8
"College Station--Bryan, TX",Brazos County,500,30.6,52.6,8.9,45.6,9.1
"College Station--Bryan, TX",Brazos County,1801,24.5,13.9,6.8,6.9,4.5
"College Station--Bryan, TX",Brazos County,400,26.1,28.7,5.2,27.9,8.7
"College Station--Bryan, TX",Brazos County,603,29.1,66.7,7.7,35.6,10.4
"College Station--Bryan, TX",Brazos County,604,31.6,74.0,7.7,43.9,10.6
"College Station--Bryan, TX",Brazos County,700,26.2,56.2,9.6,14.8,6.4
"College Station--Bryan, TX",Brazos County,800,20.7,32.6,8.1,17.6,8.3
"College Station--Bryan, TX",Brazos County,900,31.1,59.3,7.9,28.4,11.7
"College Station--Bryan, TX",Brazos County,1000,31.9,29.7,8.3,53.3,10.2
"College Station--Bryan, TX",Brazos County,1100,23.2,27.5,10.0,17.2,6.0
"College Station--Bryan, TX",Brazos County,1301,30.7,17.0,9.2,39.8,8.6
"College Station--Bryan, TX",Brazos County,1303,30.3,15.7,8.3,46.9,8.0
"College Station--Bryan, TX",Brazos County,1400,36.2,11.7,4.3,65.0,5.4
"College Station--Bryan, TX",Brazos County,2015,17.6,20.5,2.9,0.0,90.0
"College Station--Bryan, TX",Brazos County,1601,29.3,9.2,4.6,53.8,8.8
"College Station--Bryan, TX",Brazos County,1604,29.9,11.6,4.7,45.3,8.0
"College Station--Bryan, TX",Brazos County,1804,27.9,17.4,9.4,21.2,10.0
"College Station--Bryan, TX",Brazos County,2006,19.4,17.4,10.3,8.6,5.1
"College Station--Bryan, TX",Brazos County,102,17.2,6.2,3.9,5.3,2.5
"College Station--Bryan, TX",Brazos County,2014,26.7,13.5,5.9,49.9,13.4
"College Station--Bryan, TX",Brazos County,2012,36,15.7,5.1,78.0,7.4
"College Station--Bryan, TX",Brazos County,1701,34,18.5,6.5,51.7,8.9
